fid,ID,ICESNAME,SOUTH,WEST,NORTH,EAST,AREA_KM2,OBJECTID,ICESNAME_1,Ecoregion,AREA,PERCENTAGE,OBJECTID_1,ICESNAME_2,Shape_STAr,Shape_STLe,SubDivisio
"130","344",50A3,60.5,-41,61,-40,"3038","3615",50A3,Greenland Sea,0.5,100,"0",50A3,0.4999999998,2.9999999994,"2"
"131","345",51A3,61,-41,61.5,-40,"2991","3698",51A3,Greenland Sea,0.5,100,"0",51A3,0.5000000007,3.0000000012,"2"
"132","346",52A3,61.5,-41,62,-40,"2944","3778",52A3,Greenland Sea,0.5,100,"0",52A3,0.4999999998,2.9999999994,"2"
"133","347",53A3,62,-41,62.5,-40,"2896","3857",53A3,Greenland Sea,0.5,100,"0",53A3,0.4999999998,2.9999999994,"2"
"134","348",54A3,62.5,-41,63,-40,"2848","3954",54A3,Greenland Sea,0.5,100,"0",54A3,0.4999999998,2.9999999994,"2"
"135","349",55A3,63,-41,63.5,-40,"2800","4050",55A3,Greenland Sea,0.5,100,"0",55A3,0.4999999998,2.9999999994,"2"
"136","350",56A3,63.5,-41,64,-40,"2752","4149",56A3,Greenland Sea,0.5,100,"0",56A3,0.4999999998,2.9999999994,"2"
"137","351",57A3,64,-41,64.5,-40,"2703","4246",57A3,Greenland Sea,0.5,100,"0",57A3,0.4999999998,2.9999999994,"2"
"138","352",58A3,64.5,-41,65,-40,"2654","4344",58A3,Greenland Sea,0.5,100,"0",58A3,0.4999999998,2.9999999994,"2"
"139","353",59A3,65,-41,65.5,-40,"2605","4444",59A3,Greenland Sea,0.5,100,"0",59A3,0.4999999998,2.9999999994,"2"
"140","393",01B0,36,-40,36.5,-39,"4987","3",01B0,Oceanic Northeast Atlantic,0.49999999,99.999997,"0",01B0,0.4999999998,2.9999999994,"1"
"141","394",02B0,36.5,-40,37,-39,"4955","96",02B0,Oceanic Northeast Atlantic,0.5,100,"0",02B0,0.4999999998,2.9999999994,"1"
"142","395",03B0,37,-40,37.5,-39,"4923","185",03B0,Oceanic Northeast Atlantic,0.5,100,"0",03B0,0.4999999998,2.9999999994,"1"
"143","396",04B0,37.5,-40,38,-39,"4891","271",04B0,Oceanic Northeast Atlantic,0.5,100,"0",04B0,0.4999999998,2.9999999994,"1"
"144","397",05B0,38,-40,38.5,-39,"4858","360",05B0,Oceanic Northeast Atlantic,0.5,100,"0",05B0,0.4999999998,2.9999999994,"1"
"145","398",06B0,38.5,-40,39,-39,"4825","439",06B0,Oceanic Northeast Atlantic,0.5,100,"0",06B0,0.5000000007,3.0000000012,"1"
"146","399",07B0,39,-40,39.5,-39,"4792","514",07B0,Oceanic Northeast Atlantic,0.5,100,"0",07B0,0.4999999998,2.9999999994,"1"
"147","400",08B0,39.5,-40,40,-39,"4758","600",08B0,Oceanic Northeast Atlantic,0.5,100,"0",08B0,0.4999999998,2.9999999994,"1"
"148","401",09B0,40,-40,40.5,-39,"4724","690",09B0,Oceanic Northeast Atlantic,0.5,100,"0",09B0,0.4999999998,2.9999999994,"1"
"149","402",10B0,40.5,-40,41,-39,"4689","781",10B0,Oceanic Northeast Atlantic,0.5,100,"0",10B0,0.4999999998,2.9999999994,"1"
"150","403",11B0,41,-40,41.5,-39,"4654","872",11B0,Oceanic Northeast Atlantic,0.5,100,"0",11B0,0.4999999998,2.9999999994,"1"
"151","404",12B0,41.5,-40,42,-39,"4619","962",12B0,Oceanic Northeast Atlantic,0.5,100,"0",12B0,0.4999999998,2.9999999994,"1"
"152","405",13B0,42,-40,42.5,-39,"4583","1046",13B0,Oceanic Northeast Atlantic,0.5,100,"0",13B0,0.4999999998,2.9999999994,"1"
"153","406",14B0,42.5,-40,43,-39,"4547","1134",14B0,Oceanic Northeast Atlantic,0.5,100,"0",14B0,0.4999999998,2.9999999994,"1"
"154","407",15B0,43,-40,43.5,-39,"4511","1221",15B0,Oceanic Northeast Atlantic,0.5,100,"0",15B0,0.5000000007,3.0000000012,
"155","408",16B0,43.5,-40,44,-39,"4474","1302",16B0,Oceanic Northeast Atlantic,0.5,100,"0",16B0,0.4999999998,2.9999999994,
"156","409",17B0,44,-40,44.5,-39,"4437","1382",17B0,Oceanic Northeast Atlantic,0.5,100,"0",17B0,0.4999999998,2.9999999994,
"157","410",18B0,44.5,-40,45,-39,"4400","1460",18B0,Oceanic Northeast Atlantic,0.5,100,"0",18B0,0.4999999998,2.9999999994,
"158","411",19B0,45,-40,45.5,-39,"4362","1535",19B0,Oceanic Northeast Atlantic,0.5,100,"0",19B0,0.4999999998,2.9999999994,
"159","412",20B0,45.5,-40,46,-39,"4324","1611",20B0,Oceanic Northeast Atlantic,0.5,100,"0",20B0,0.4999999998,2.9999999994,
"160","413",21B0,46,-40,46.5,-39,"4286","1679",21B0,Oceanic Northeast Atlantic,0.5,100,"0",21B0,0.4999999998,2.9999999994,
"161","414",22B0,46.5,-40,47,-39,"4247","1742",22B0,Oceanic Northeast Atlantic,0.5,100,"0",22B0,0.4999999998,2.9999999994,
"162","415",23B0,47,-40,47.5,-39,"4208","1803",23B0,Oceanic Northeast Atlantic,0.5,100,"0",23B0,0.4999999998,2.9999999994,
"163","416",24B0,47.5,-40,48,-39,"4169","1860",24B0,Oceanic Northeast Atlantic,0.5,100,"0",24B0,0.5000000007,3.0000000012,
"164","417",25B0,48,-40,48.5,-39,"4129","1917",25B0,Oceanic Northeast Atlantic,0.5,100,"0",25B0,0.4999999998,2.9999999994,
"165","418",26B0,48.5,-40,49,-39,"4089","1983",26B0,Oceanic Northeast Atlantic,0.5,100,"0",26B0,0.4999999998,2.9999999994,
"166","419",27B0,49,-40,49.5,-39,"4048","2033",27B0,Oceanic Northeast Atlantic,0.5,100,"0",27B0,0.4999999998,2.9999999994,
"167","420",28B0,49.5,-40,50,-39,"4008","2086",28B0,Oceanic Northeast Atlantic,0.5,100,"0",28B0,0.4999999998,2.9999999994,
"168","421",29B0,50,-40,50.5,-39,"3967","2139",29B0,Oceanic Northeast Atlantic,0.5,100,"0",29B0,0.4999999998,2.9999999994,
"169","422",30B0,50.5,-40,51,-39,"3925","2190",30B0,Oceanic Northeast Atlantic,0.5,100,"0",30B0,0.4999999998,2.9999999994,
"170","423",31B0,51,-40,51.5,-39,"3884","2242",31B0,Oceanic Northeast Atlantic,0.5,100,"0",31B0,0.4999999998,2.9999999994,
"171","424",32B0,51.5,-40,52,-39,"3842","2294",32B0,Oceanic Northeast Atlantic,0.5,100,"0",32B0,0.4999999998,2.9999999994,
"172","425",33B0,52,-40,52.5,-39,"3800","2348",33B0,Oceanic Northeast Atlantic,0.5,100,"0",33B0,0.5000000007,3.0000000012,
"173","426",34B0,52.5,-40,53,-39,"3757","2403",34B0,Oceanic Northeast Atlantic,0.5,100,"0",34B0,0.4999999998,2.9999999994,"1"
"174","427",35B0,53,-40,53.5,-39,"3714","2462",35B0,Oceanic Northeast Atlantic,0.5,100,"0",35B0,0.4999999998,2.9999999994,"1"
"175","428",36B0,53.5,-40,54,-39,"3671","2524",36B0,Oceanic Northeast Atlantic,0.5,100,"0",36B0,0.4999999998,2.9999999994,"1"
